Длинна волны	% отражённого света																																	Итоговое полглощение 
850	100,632235																														85,152854			
849	100,421408																														85,240048			
848	100,053931																														83,97677			
847	99,687668																														84,622006			
846	99,718338																														83,580732			
845	99,584771																														83,88529			
844	100,27038																														84,336147			
843	99,708608																														84,342614			
842	99,741391																														84,768179			
841	99,342933																														84,100847			
840	99,598163																														83,777128			
839	100,575734																														84,293094			
838	99,700014																														84,0325			
837	99,518546																														83,599728			
836	99,825951																														84,01024			
835	100,05588																														83,771078			
834	100,295676																														83,884756			
833	99,890459																														83,850472			
832	100,011443																														83,756448			
831	99,974373																														83,759189			
830	100,237136																														83,863295			
829	99,72373																														83,984433			
828	99,685415																														83,342233			
827	99,911117																														83,560285			
826	99,747169																														83,415759			
825	100,314474																														83,690203			
824	100,27544																														83,756268			
823	100,224503																														83,456997			
822	99,724121																														83,510801			
821	100,404034																														83,732627			
820	100,443642																														83,665844			
819	100,376636																														83,462438			
818	100,340169																														83,197674			
817	100,158016																														83,265583			
816	99,758478																														82,959433			
815	100,018333																														83,192695			
814	99,990851																														82,983383			
813	99,539198																														83,007106			
812	99,756017																														82,936737			
811	100,157898																														83,139968			
810	99,864228																														82,944261			
809	100,011904																														83,074727			
808	100,042223																														82,863861			
807	99,658543																														82,647			
806	99,924129																														82,760522			
805	99,809469																														82,610563			
804	100,133066																														82,76606			
803	99,947089																														82,682002			
802	100,174416																														82,75188			
801	99,853311																														82,684263			
800	99,736445																														82,536875			
799	99,818108																														82,396974			
798	100,019172																														82,492453			
797	99,99584																														82,416913			
796	99,834318																														82,43719			
795	100,070257																														82,395426			
794	99,793844																														82,218073			
793	99,912827																														82,163861			
792	99,828924																														81,942233			
791	99,893176																														81,939154			
790	99,865877																														82,070303			
789	99,997064																														82,163087			
788	99,99453																														81,992475			
787	100,086058																														81,953502			
786	99,989061																														81,906309			
785	100,086245																														82,007836			
784	99,915168																														81,843315			
783	99,73339																														81,746693			
782	99,957235																														81,789318			
781	99,938288																														81,461593			
780	99,932162																														81,775905			
779	100,136363																														81,800241			
778	99,933602																														81,505158			
777	99,938702																														81,577063			
776	100,000203																														81,381178			
775	99,949259																														81,354204			
774	99,820399																														81,148899			
773	100,132832																														81,331342			
772	100,055249																														81,37303			
771	99,874427																														81,368555			
770	99,68959																														81,122758			
769	99,793469																														81,042008			
768	99,965993																														80,977361			
767	100,115805																														81,085487			
766	100,010235																														80,933445			
765	99,987841																														80,876777			
764	100,114635																														80,903179			
763	100,051808																														80,849213			
762	100,045223																														80,866088			
761	99,980939																														80,809322			
760	99,929739																														80,785784			
759	100,038867																														80,760948			
758	99,922175																														80,620632			
757	99,93309																														80,421493			
756	99,919806																														80,434099			
755	99,828897																														80,486553			
754	99,809638																														80,353539			
753	99,993504																														80,341298			
752	99,980618																														80,32749			
751	100,069962																														80,313745			
750	100,009641																														80,161849			
749	99,959724																														80,050036			
748	99,998883																														80,128851			
747	100,067076																														80,067523			
746	100,226358																														80,075751			
745	100,202817																														80,076855			
744	100,038926																														79,970059			
743	99,989329																														79,845794			
742	99,990036																														79,800357			
741	99,920305																														79,650645			
740	100,027874																														79,704228			
739	100,066862																														79,686656			
738	99,912075																														79,606555			
737	99,96611																														79,568959			
736	99,939165																														79,397549			
735	99,816998																														79,260465			
734	99,883729																														79,19526			
733	99,877474																														79,191799			
732	99,894778																														79,220011			
731	99,89132																														79,1788			
730	99,956886																														79,100013			
729	100,040674																														79,061401			
728	99,962997																														79,059927			
727	99,855085																														79,023361			
726	99,936954																														79,040778			
725	99,953735																														79,009877			
724	99,96518																														78,895259			
723	99,915607																														78,792514			
722	99,9154																														78,702082			
721	100,000715																														78,702692			
720	100,023493																														78,598278			
719	99,932106																														78,438019			
718	100,067865																														78,536372			
717	100,128461																														78,546692			
716	100,058409																														78,450935			
715	100,071202																														78,30119			
714	99,993966																														78,180807			
713	99,88997																														78,144407			
712	99,766949																														78,013748			
711	99,927143																														77,986151			
710	100,03541																														77,953507			
709	100,073415																														77,959377			
708	100,105564																														77,930408			
707	100,055209																														77,795566			
706	100,022119																														77,676069			
705	100,028472																														77,640641			
704	100,000307																														77,548496			
703	100																														77,510646			
702	100,002665																														77,516536			
701	99,957556																														77,433635			
700	99,89269																														77,302119			
699	99,849028																														77,27399			
698	99,874598																														77,20894			
697	99,878465																														77,048159			
696	99,819074																														76,998433			
695	99,904703																														76,932585			
694	99,941799																														76,928525			
693	99,865038																														76,86186			
